SMILES	Sample_ID	Activity	Notes
OC(=O)\C=C/C(O)=O.C[C@]12CC=C3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)CN1CCN(CC1)C1=NC(=NC(=C1)N1CCCC1)N1CCCC1	NCGC00261900-01 POS Optional Notes Column
[Na+].NC1=NC=NC2=C1N=C(Br)N2C1OC2CO[P@]([O-])(=O)O[C@@H]2C1O	NCGC00260869-01	NEG After the Activity-column we do not have to care about blank spaces any more!
O=C1N2CCC3=C(NC4=C3C=CC=C4)C2=NC2=C1C=CC=C2	NCGC00261776-01	NEG
Cl.FC1=CC=C(C=C1)C(OCCCC1=CNC=N1)C1=CC=C(F)C=C1	NCGC00261380-01	POS
CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](CC1=CC=CC=C1)C(=O)CCl	NCGC00261842-01	NEG
Cl.NC1=CC=C(C=C1)C1=NC2=CC=CC=C2C=C1	NCGC00261662-01 NEG
FC1(F)OC2=C(O1)C=C(C=C2)\C=C1/SC(=O)NC1=O	NCGC00261190-01 NEG
CCC1=CC=C(\C=C2\SC(=S)NC2=O)C=C1	NCGC00260731-01 POS
OC1=C(CC=C)C=CC=C1\C=N\NC(=O)CN1CCN(CC2=CC=CC=C2)CC1	NCGC00261926-01 NEG
CCN1\C(SC2=CC=C(OC)C=C12)=C\C(C)=O	NCGC00261579-01	NEG
O=C1NC(=O)C2=C1C=C(NC1=CC=CC=C1)C(NC1=CC=CC=C1)=C2	NCGC00260921-01 POS
CCN1C(=O)NC2=CC(Cl)=C(Cl)C=C12	NCGC00261119-01	POS
[Cl-].ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)[N+]1=CN(CC(OCC2=C(Cl)C=C(Cl)C=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1	NCGC00260957-01 POS